,_fivetran_id,id,date,metric,key,value,_fivetran_synced
71,x2TqvuNE/m2cQ0V58TxxyfbQxKY=,17841413694138154,2022-08-08,audience_city,"Kayonza, Eastern Province",1,2022-08-08 10:43:18.895000+00:00
72,tzqL1awyLtG85Ss38Dg+AXdaIrk=,17841413694138154,2022-08-06,online_followers,12,43,2022-08-08 10:43:18.928000+00:00
73,kVoxK6B/JyV6Lns0HoLbucqDprk=,17841413694138154,2022-08-08,audience_locale,fr_CA,1,2022-08-08 10:43:18.920000+00:00
74,5FAw1urEjZwx/ZeNMirgH7jnSBI=,17841413694138154,2022-08-06,online_followers,18,17,2022-08-08 10:43:18.930000+00:00
75,e1zILO2naTE23ZRBg7ENGec3dVk=,17841413694138154,2022-08-06,online_followers,15,35,2022-08-08 10:43:18.929000+00:00
76,xVw7+n8CN8quuOkK7OF2pnRItaU=,17841413694138154,2022-08-08,audience_locale,uk_UA,1,2022-08-08 10:43:18.921000+00:00
77,Oo80S+GR6aKw5DkLXYY1vGR0xCQ=,17841413694138154,2022-08-08,audience_country,GA,2,2022-08-08 10:43:18.904000+00:00
78,vzMEMm0/lnSCkHdwieDWSuNpWQg=,17841413694138154,2022-08-08,audience_country,CG,1,2022-08-08 10:43:18.906000+00:00
79,F514vXOoQEvRbrIvG8fpAgohOLY=,17841413694138154,2022-08-08,audience_gender_age,F.45-54,8,2022-08-08 10:43:18.913000+00:00
80,/8h1Khh8XZIxTjvvFdKEX2hpGeY=,17841413694138154,2022-08-06,online_followers,13,43,2022-08-08 10:43:18.928000+00:00
81,RVrRdn+WsTfz+xLBVN+GG9fnjq4=,17841413694138154,2022-08-08,audience_gender_age,F.55-64,3,2022-08-08 10:43:18.914000+00:00
82,s78FcnUDTwlRNLthZ2rur3Y2zMU=,17841413694138154,2022-08-08,audience_city,"Abidjan, Abidjan",3,2022-08-08 10:43:18.895000+00:00
83,ZUPgLYPr/H6GR0uNseAhlauJ5eo=,17841413694138154,2022-08-08,audience_country,RW,2,2022-08-08 10:43:18.901000+00:00
84,Epkxn6A+xeT9Ymh4x4GQByIiMvA=,17841413694138154,2022-08-08,audience_city,"Burj Hammud, Mount Lebanon Governorate",1,2022-08-08 10:43:18.899000+00:00
85,UE0k1s/W145Eh4FJ0+xlJSpG+p0=,17841413694138154,2022-08-08,audience_city,"Larache, Tangier-Tetouan",1,2022-08-08 10:43:18.893000+00:00
86,ArODZOyrITy/Odf77lBsnOL+QKA=,17841413694138154,2022-08-06,online_followers,1,22,2022-08-08 10:43:18.924000+00:00
87,40omr00/bCSqDzdMKonmeOZeIr8=,17841413694138154,2022-08-08,audience_city,"Casablanca, Grand Casablanca",39,2022-08-08 10:43:18.881000+00:00
