,_fivetran_id,day,follower_gains_organic_follower_gain,follower_gains_paid_follower_gain,organization_entity,_fivetran_synced
77,OxSrb9UZpHBb61QLo5Rgni0Y/xM=,2022-04-07 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.584000+00:00
78,vSX1c0gbf8Wd2l5f0PjsgDEh138=,2022-02-25 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.650000+00:00
79,Nzyflo67nowMWu1ZdzUIf7a1Czs=,2022-01-21 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:20.578000+00:00
80,NIKz8Ob0MxNjm29ALQktagTQg5g=,2021-12-22 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.237000+00:00
81,4Bz79VxMtGL3kV6hUt+N8OuBmGM=,2021-08-24 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.538000+00:00
82,ZMPHb3bUgCubTYr1vnfNQebVy5o=,2022-07-29 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.562000+00:00
83,z7t0jggrESEXcg1OKV/IGmxuMis=,2021-11-01 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.269000+00:00
84,f+9DISkCUFCtz0JbaJTwgIfeuBY=,2022-01-05 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.034000+00:00
85,82I3yPkqYPUDXD1w+gYOcIrQnqI=,2021-10-15 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.891000+00:00
86,DHVFQDX6pNMZC3DDNDRP08cYeuw=,2022-03-22 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.420000+00:00
87,312ZZ4iZ9E+/8nPq9jEPdVgYQ1c=,2022-01-30 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:20.583000+00:00
88,tTxfgOlGLQuA73zH2hr7Na5Yqnw=,2022-05-09 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:09.005000+00:00
89,MXEWvbwGSuxaL9Z7YWB5M9QFofU=,2021-08-27 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.539000+00:00
90,JDBdhblWxlqH3eYZqD+QRIAYrRA=,2022-06-22 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.905000+00:00
91,DTCktmKeyEwhIviHHqUxYUrlRxY=,2022-07-02 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.966000+00:00
92,vdWvuooV8h4wJZjOg/Zw9nBFnG0=,2022-05-18 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:09.012000+00:00
93,34LDsXn2f9jX7Z/LJwDc0HbO+m8=,2022-05-11 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.211000+00:00
94,+nc4SRY9S51oTqM56GQ6M7AwvMg=,2022-05-20 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.214000+00:00
95,ymwHG568NFikkVJv5tvaqayOGtM=,2022-03-25 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.423000+00:00
96,VaGDhS44S3M9zbp5c2bpenBRidI=,2021-10-22 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.894000+00:00
97,rUqOwEQQmxJ/0V9ONa+AgiCW6SM=,2021-09-26 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:19.889000+00:00
98,WwX4QIQDNf8iNL+3zaAatRjDAlQ=,2022-07-08 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.556000+00:00
99,nqyBXKYVPJamjKdRMKXeDc7DkCI=,2021-09-17 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.043000+00:00
100,0FTcRaSNQmv/v/qRYwfyHpIigTE=,2021-10-06 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.073000+00:00
101,JXjBKsGGZEh3cCxWb/BQu3VODvQ=,2021-10-01 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:19.893000+00:00
102,A7zJwnHG6zgPAOXqOeRiFDxtMKY=,2022-02-01 00:00:00+00:00,1,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.400000+00:00
103,walxn1JBunpLicpaJY6neKz7F4k=,2022-07-07 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:29.122000+00:00
104,0SlRVjwbb0DHetvtyz5Ujfvp1e8=,2022-02-15 00:00:00+00:00,2,0,urn:li:organization:69569872,2022-08-08 10:42:08.226000+00:00
105,eIzYFA/ZrwDkyHcK4ZKfQe6wJwc=,2021-12-24 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.641000+00:00
106,cthh10EmBlJqu+Ird59NgTbG6Do=,2022-02-18 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:20.744000+00:00
107,93s3PWsuFYbp+sILcvJoSIivaqQ=,2021-10-30 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.266000+00:00
108,Z3Qbn+crbHUiN0RxN4XXdWi2xss=,2022-05-29 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:21.730000+00:00
109,9CWkGr6WdkSRtQzptljz+mJaL9I=,2022-02-21 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.649000+00:00
110,n0LWJkhGIWDTwRwua58lYeC7mJ4=,2021-09-25 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.929000+00:00
111,07VJsq9vhRoThBJb7TSk+wDDCWY=,2021-12-27 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.645000+00:00
112,cpG0244C/TzwXcvWMvVDI4Zgo/4=,2021-11-07 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.064000+00:00
113,DDNdfX4oo9rMaMBrkp3mn6tW/0M=,2022-05-10 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:40.210000+00:00
114,Z/zqc+davWwYYNHYeBHeoiAgzXI=,2021-11-25 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.454000+00:00
115,dkpIuOQMU7fMuKDA8obJV0AAl9U=,2022-04-04 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.432000+00:00
116,5JB1+p2DpQ8vNlaTaJqOeprtRho=,2022-06-23 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:21.906000+00:00
117,6EbX2Y0xic7XMFRl69L1XZNIxdE=,2022-07-25 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:09.596000+00:00
118,2seKWudcWKoG9VdOUomxP/rrdUw=,2022-01-27 00:00:00+00:00,1,0,urn:li:organization:69569872,2022-08-08 10:42:08.054000+00:00
119,kKThw/TWbrk7hnFq0GP8BfCJJWk=,2021-09-05 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.767000+00:00
120,MLaOE7Xk6OPDMQt/NA3Z6VwE+aU=,2022-02-06 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.643000+00:00
