,_fivetran_id,day,engagement,unique_impressions_count,share_count,share_mentions_count,click_count,like_count,impression_count,comment_count,comment_mentions_count,organization_entity,_fivetran_synced
1360,cv3q6YeQxwSFxW1rkrbP0k4uS4k=,2021-10-21 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.575000+00:00
1361,02e5Tk6rW/6ZqFX0xmnWW8S5Xdk=,2021-09-06 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.159000+00:00
1362,NLuS7lk2TnM11CGZtw6PT21FcmQ=,2022-05-13 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.096000+00:00
1363,RR3YB8fSHkOMlh/vyRZFIZZxDYs=,2021-10-23 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.958000+00:00
1364,Irj4Z7TdCgcZ812TK878HOxqZDg=,2021-08-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.147000+00:00
1365,ybeOUu4k29rZi7ItpYxAzGufSWQ=,2022-06-19 00:00:00+00:00,0.05263157894736842,14,0,,1,0,19,0,,urn:li:organization:11841037,2022-08-08 10:42:25.529000+00:00
1366,ivkzMFPHEhjje9aGc9oPxR+K6uc=,2022-03-03 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:11.393000+00:00
1367,PbTy85nLFMH/oWnPngXGlfDMRn0=,2021-09-18 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.756000+00:00
1368,OT5GXaT2+1l5ZN4x1CIE/8v2CCQ=,2022-05-14 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:12.067000+00:00
1369,E06ShQBEj3u/aim0YQWGEC6KxTk=,2022-05-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.827000+00:00
1370,3EiXRtABH9awUjYEXEbrzdT0ZR8=,2021-08-16 00:00:00+00:00,0.019230769230769232,11,-1,,2,0,52,0,,urn:li:organization:11841037,2022-08-08 10:42:22.704000+00:00
1371,i9dNSxjEpg1mywPb/XLJaYwsFzQ=,2022-06-30 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.291000+00:00
1372,e/X5pVsxwMoIr7YH3I421Nm6INY=,2021-08-10 00:00:00+00:00,0.058577405857740586,83,6,,5,3,239,0,,urn:li:organization:11841037,2022-08-08 10:42:22.701000+00:00
1373,KevFQuDTG+qYIZYTGYgGnE8tJzs=,2021-12-15 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.729000+00:00
1374,p72QuB7rmmpmVWX/pKomDTS2LDE=,2022-06-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.289000+00:00
1375,EXMBvW7OdKx0rPlO/eHzv9OAUq0=,2021-10-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.333000+00:00
1376,lVeJ2Bju54vlNKD1yzhlgfxeGfU=,2021-10-26 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.577000+00:00
1377,GNpjcJZ7OOg/4raTHjzNG6Zri+U=,2022-03-27 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.402000+00:00
1378,EaQg2TGOnFePqmfLAlb16GkA8vk=,2022-05-12 00:00:00+00:00,0.05263157894736842,29,0,,1,2,57,0,,urn:li:organization:11841037,2022-08-08 10:42:25.293000+00:00
1379,LQfAJhX6ygnfaJoTL0+v+5rblBY=,2022-06-23 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.289000+00:00
1380,Z4McsFqrgpIB9CL+p+TSsQkU8Ug=,2021-10-31 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.348000+00:00
1381,tVwaMfgk/0I+7ma2uHbw6lCj6jY=,2022-05-01 00:00:00+00:00,0.07692307692307693,1,0,,1,0,13,0,,urn:li:organization:69569872,2022-08-08 10:42:11.836000+00:00
1382,oMV6LvWfePqLGjCwY+++LuB9tpc=,2022-01-26 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:36.278000+00:00
1383,wByKhRKZTwr5SWZXQfsVxv2aIOU=,2021-12-05 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:35.857000+00:00
1384,IInhlGGtRhsutQjz82sHnxjUgCg=,2022-04-28 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:43.041000+00:00
1385,Yev8/7SK6sNLuHZ4JIvc2GPcSe4=,2021-11-09 00:00:00+00:00,-0.06976744186046512,10,-3,,0,0,43,0,,urn:li:organization:11841037,2022-08-08 10:42:23.502000+00:00
1386,GXeZOVpKqbL1/AkFUixdiaYLa1o=,2022-01-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.957000+00:00
1387,1UbYLZ2auMDprEnZtBS2vF+7t8o=,2021-11-11 00:00:00+00:00,0.40559440559440557,96,8,,49,1,143,0,,urn:li:organization:11841037,2022-08-08 10:42:23.504000+00:00
1388,h9Ql6CtP7QTbNTsOXG7Y4EJu1Cw=,2022-03-05 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.189000+00:00
1389,Zzk0sNQI1hWmmg61dMudHwjpYkM=,2022-06-12 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:18.024000+00:00
1390,/Gb0IZEkHbdoK7gqmDLWSbN+bhQ=,2022-01-13 00:00:00+00:00,0.07017543859649122,16,4,,0,0,57,0,,urn:li:organization:11841037,2022-08-08 10:42:24.032000+00:00
1391,rndjh6aJrbfXy4Z2ROL3xIDgWbI=,2021-09-27 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.273000+00:00
1392,mE0D5wZMcnuZmEEftV23I2GX9SY=,2021-09-14 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.366000+00:00
1393,LSkqWUKyAxhii+yz+lAkZVX0Trk=,2022-05-10 00:00:00+00:00,0.10638297872340426,41,1,,7,2,94,0,,urn:li:organization:11841037,2022-08-08 10:42:25.292000+00:00
1394,DnkG9ChLG1YjlqDPrAjFCbnXlf4=,2021-12-21 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:30.398000+00:00
1395,hbXPTyqysSja3s8KSXs4kqtNnTY=,2022-05-05 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.817000+00:00
1396,6BoZ5DIhPDD9wd2brKuQn96QYqY=,2021-12-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:30.394000+00:00
1397,Uachy5aonio7iMjWP8ulD8hiyFc=,2021-10-01 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.138000+00:00
1398,CZIIg0+kj80hQwWRVD5yH9n8LYo=,2022-06-14 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:18.025000+00:00
1399,2Rh0osgJyOvT+MLgMUQ8Ae8SyVk=,2021-11-29 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.724000+00:00
1400,YmtlRd4LojYXOWM6bvSVcVVR6lI=,2022-05-28 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.102000+00:00
1401,H9SeyUPCjRDWgUnpyMEjEy1/hdk=,2021-12-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:36.059000+00:00
1402,FjgVC3h3gpwvmXOdHjQ0H024yMc=,2022-05-29 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.831000+00:00
1403,YpaNK4MYh0yKLpCglABTVkYOHzo=,2022-01-23 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:11.167000+00:00
1404,GFnig82NuSq4JaA4fngaxMn+6dU=,2021-11-03 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.962000+00:00
1405,JOHbkqguwMOF5IdhZTOOf75Qz2g=,2022-07-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:18.241000+00:00
1406,U5clcO6mQ6bHHkAGO0KoUQFIKeE=,2021-10-24 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.342000+00:00
1407,ZthvftetngMLBVPFgp2oeA8f/X8=,2022-05-07 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:43.226000+00:00
1408,40bL+KRsI/LiF3h3MAT5nDmLC0Y=,2022-04-30 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:43.041000+00:00
