,_fivetran_id,id,date,email_contacts,follower_count,get_directions_clicks,phone_call_clicks,profile_views,text_message_clicks,website_clicks,impressions,impressions_7_d,impressions_28_d,reach,reach_7_d,reach_28_d,_fivetran_synced
58,E6qRTF4+P1TVDqfytonGjfXHh4w=,17841413694138154,2022-03-27,0,,0,0,0,0,0,0,1,35,0,1,23,2022-08-08 10:43:26.271000+00:00
59,tQtNgGY1ikF8x+r6fh9XQc8K7c4=,17841413694138154,2022-02-10,0,,0,0,0,0,0,1,4,41,1,3,30,2022-08-08 10:43:28.237000+00:00
60,Kh05WLmLhA0/9DX9NdrDYJRj7rA=,17841413694138154,2022-03-01,0,,0,0,0,0,0,0,5,56,0,2,35,2022-08-08 10:43:28.243000+00:00
61,VkG/HlDVfRLkyIg8UuiCKL2N95E=,17841413694138154,2022-06-17,0,,0,0,2,0,0,2,3,15,1,2,9,2022-08-08 10:43:20.400000+00:00
62,BkcgU69g4i8C2fcT/wlPbQTFxAE=,17841413694138154,2022-03-23,0,,0,0,0,0,0,0,2,39,0,2,24,2022-08-08 10:43:26.270000+00:00
63,7G0QyOvYfnQnRQJ+0sE4z1LCJlQ=,17841413694138154,2022-06-10,0,,0,0,0,0,0,0,1,113,0,1,53,2022-08-08 10:43:20.397000+00:00
64,vg+R3tQzE2kuunCbT8P6gjEq35Y=,17841413694138154,2022-03-22,0,,0,0,0,0,0,0,3,39,0,3,24,2022-08-08 10:43:26.270000+00:00
65,g2MH5YFYA0RNu3v3M9mtllzkEJo=,17841413694138154,2022-03-06,0,,0,0,0,0,0,0,20,75,0,16,46,2022-08-08 10:43:28.244000+00:00
66,9YpBc63JFkCU1H7Of/PWRQLAQOs=,17841413694138154,2022-05-13,0,,0,0,0,0,0,0,74,166,0,31,59,2022-08-08 10:43:22.533000+00:00
67,3wSxOOnzhiVQlETILk09cfJSC6o=,17841413694138154,2022-06-15,0,,0,0,0,0,0,0,1,35,0,1,20,2022-08-08 10:43:20.399000+00:00
68,R62DBF79NFZ+zf8tZBWh6Vw21ic=,17841413694138154,2022-05-02,0,,0,0,0,0,0,6,55,169,6,28,73,2022-08-08 10:43:24.426000+00:00
69,mYX63RJtDHPFeDMtPS3tYu77PSQ=,17841413694138154,2022-03-24,0,,0,0,0,0,0,0,2,38,0,2,23,2022-08-08 10:43:26.270000+00:00
70,KICcbQ2v5cTJHW9gxH2+p4AxWgg=,17841413694138154,2022-06-23,0,,0,0,0,0,0,0,3,12,0,2,6,2022-08-08 10:43:20.403000+00:00
71,i9GaXRQXLmpQsCWM6tpdzJA9imY=,17841413694138154,2022-05-17,0,,0,0,1,0,0,8,47,205,4,22,61,2022-08-08 10:43:22.534000+00:00
72,5j3srX81IFwxYlQsHX5KNEOYLh8=,17841413694138154,2022-06-25,0,,0,0,0,0,0,1,2,7,1,2,6,2022-08-08 10:43:20.404000+00:00
73,+VaekhRi0r1h5wQc+Qp18PdvMTM=,17841413694138154,2022-06-21,0,,0,0,0,0,0,0,3,13,0,2,7,2022-08-08 10:43:20.402000+00:00
74,Fw9kueAota4dHBKemv+NVjsqbBE=,17841413694138154,2022-03-11,0,,0,0,0,0,0,0,10,81,0,3,46,2022-08-08 10:43:26.267000+00:00
75,DznpjZBmL1gWYIu9x1MqEeeo69I=,17841413694138154,2022-04-19,0,,0,0,0,0,0,0,9,194,0,7,113,2022-08-08 10:43:24.421000+00:00
76,CGXVhZ78GLIHZI/9mgrs3Ni3G+A=,17841413694138154,2022-06-07,0,,0,0,0,0,0,0,1,119,0,1,57,2022-08-08 10:43:22.542000+00:00
77,I9Cw47PLeos0o/3rvIg1bmWrD7I=,17841413694138154,2022-04-11,0,,0,0,0,0,0,25,32,142,14,19,96,2022-08-08 10:43:24.418000+00:00
